date,pollster,n,Bulstrode,Lydgate,Vincy,Casaubon,Chettam,Others
2024-03-25,Mandate Metrics,,0.366,0.29,0.19699999999999998,,,0.147
2024-03-25,DemocracyMeter,705,0.37,0.28,0.2,0.06,,0.08
2024-03-24,Civic Pulse,2708,0.36,0.25,0.21,,,0.18
2024-03-24,Calvo Group,1089,0.342,0.28,0.243,,,0.136
2024-03-23,Policy Voice Polling,1464,0.39,0.307,0.20800000000000002,0.039,,0.055999999999999994
2024-03-22,Bardi University,660,0.355,0.3,0.23,,,0.115
2024-03-22,University of Bellville-sur-Mer,1571,0.38,0.29,0.192,0.08199999999999999,0.016,0.040999999999999995
2024-03-22,University of Bellville-sur-Mer,1571,0.386,0.295,0.196,0.083,,0.040999999999999995
2024-03-20,Verity Insights,1507,0.376,0.304,0.209,0.079,,0.032
2024-03-20,Capitol Opinion Research,1004,0.345,0.293,0.2,0.087,,0.075
2024-03-18,DemocracyMeter,708,0.36,0.31,0.18,0.08,,0.07
2024-03-16,Policy Voice Polling,1457,0.418,0.299,0.19699999999999998,0.05,,0.037000000000000005
2024-03-16,Bardi University,653,0.355,0.298,0.209,,,0.139
2024-03-14,Pulse Analytics,2015,0.369,0.282,0.198,,,0.151
2024-03-13,Verity Insights,1517,0.33899999999999997,0.308,0.168,0.07,,0.115
2024-03-11,Mandate Metrics,,0.369,0.243,0.214,0.063,,0.11
2024-03-11,DemocracyMeter,756,0.39,0.31,0.19,,,0.11
2024-03-11,Mawmsey Reports,3033,0.32899999999999996,0.3,0.21,0.062,,0.1
2024-03-10,Civic Pulse,2615,0.33,0.26,0.22,,,0.18
2024-03-10,Bardi University,664,0.361,0.29600000000000004,0.22399999999999998,,,0.11900000000000001
2024-03-09,Policy Voice Polling,1465,0.363,0.26,0.217,0.078,,0.081
2024-03-06,Verity Insights,1573,0.331,0.306,0.192,0.067,,0.10400000000000001
2024-03-06,Capitol Opinion Research,981,0.379,0.303,0.18899999999999997,0.019,,0.11
2024-03-04,DemocracyMeter,772,0.37,0.31,0.19,0.04,,0.1
2024-03-04,Bardi University,677,0.33899999999999997,0.32899999999999996,0.19399999999999998,,,0.138
2024-03-02,Policy Voice Polling,1409,0.335,0.29600000000000004,0.23,0.071,,0.068
2024-02-29,Pulse Analytics,2037,0.335,0.34,0.183,0.05,,0.092
2024-02-28,Verity Insights,1589,0.326,0.332,0.183,0.065,,0.094
2024-02-27,Bardi University,660,0.324,0.34600000000000003,0.203,,,0.127
2024-02-26,Mandate Metrics,,0.3,0.3,0.23399999999999999,,,0.166
2024-02-26,DemocracyMeter,706,0.35,0.34,0.19,0.07,,0.05
2024-02-25,Civic Pulse,2541,0.33,0.33,0.2,0.07,,0.07
2024-02-24,Policy Voice Polling,1403,0.321,0.315,0.251,0.048,,0.064
2024-02-23,University of Bellville-sur-Mer,1538,0.327,0.364,0.22,0.057999999999999996,0.013000000000000001,0.017
2024-02-23,University of Bellville-sur-Mer,1538,0.331,0.369,0.223,0.059000000000000004,,0.018000000000000002
2024-02-21,Verity Insights,1529,0.33299999999999996,0.35200000000000004,0.19,0.064,,0.061
2024-02-21,Capitol Opinion Research,1020,0.335,0.313,0.21899999999999997,0.05,,0.083
2024-02-21,Bardi University,675,0.317,0.305,0.19699999999999998,,,0.18
2024-02-19,DemocracyMeter,724,0.33,0.35,0.22,0.06,,0.04
